,_id,uid,WHO/organization,WHO/emergency_type,WHO/operation,WHO/email,WHO/focal_point,WHO/partners,WHO/project_name,WHO/description,WHAT/activity_type,WHAT/activities,WHAT/act_desc,WHAT/training,WHAT/channels,WHAT/sectors,WHAT/lang,WHAT/population,WHERE/location,WHEN/status,WHEN/start_date,WHEN/start_end,Adm2,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode
0,337288760,20220927095022,Organization 1,Epidemics,COVID-19,org@org.org,Amadou Ndong,Main Org,Fight COVID,Fight covid-19,broad_communication|community_outreach|stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,shows|Mobile_cinema_and_community_theater|authorities_engagement|rumours_tracking|coordination_mechanism_structure|qualitative_and_quantitative_research|training_of_governance_and_partners_staff,All rcce related activities,yes,face_to_face|community_leaders_community|Social_Mobilisation|theater_and_movies|advertising_billborad|paper_based|newspaper|Call_Center|radio|tv|web|social_network|mobile_and_applications|volunteers|field_staff_monitoring|meeting_workshop|other,nutrition|wash|health|education|protection|logistics|telecommunication|early_recovery|cccm|shelter|food_security,English,Women|Men|Girls|Boys|Children|Adolescents|Elderly|PLW,ici,Planned,2022-10-01,2022-12-01,Salima,Salima,MW205,Central,MW2
1,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Salima,Salima,MW205,Central,MW2
2,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Dedza,Dedza,MW208,Central,MW2
3,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Lilongwe,Lilongwe,MW206,Central,MW2
4,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Lilongwe,Lilongwe,MW206,Central,MW2
5,337288760,20220927095022,Organization 1,Epidemics,COVID-19,org@org.org,Amadou Ndong,Main Org,Fight COVID,Fight covid-19,broad_communication|community_outreach|stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,shows|Mobile_cinema_and_community_theater|authorities_engagement|rumours_tracking|coordination_mechanism_structure|qualitative_and_quantitative_research|training_of_governance_and_partners_staff,All rcce related activities,yes,face_to_face|community_leaders_community|Social_Mobilisation|theater_and_movies|advertising_billborad|paper_based|newspaper|Call_Center|radio|tv|web|social_network|mobile_and_applications|volunteers|field_staff_monitoring|meeting_workshop|other,nutrition|wash|health|education|protection|logistics|telecommunication|early_recovery|cccm|shelter|food_security,English,Women|Men|Girls|Boys|Children|Adolescents|Elderly|PLW,ici,Planned,2022-10-01,2022-12-01,Rumphi,Rumphi,MW104,Northern,MW1
6,337713886,20220927095058,Org 2,Natural_Disasters,Floods,rog@org.org,Vincent Turmine,"Org 3, Org 4",Our project name,Our project description,community_outreach|stakeholder_engagement|community_feedback|social_science,Social_Mobilisation|communicating_with_practicians|communication_with_media|suggestions_complains|data_collection_and_survey,Our activities description,no,face_to_face|community_leaders_community|radio|tv|social_network|mobile_and_applications|volunteers,health|food_security,Chichewa|English,Women|Girls|Boys|Adolescents|Elderly|PLW,La bas,Completed,2022-01-01,2022-05-01,Rumphi,Rumphi,MW104,Northern,MW1
7,340261879,20220927094548,Collective Service,Epidemics,COVID-19|Cholera|Polio,cs@cs.org,Vincent Turmine,"WHO, IFRC, UNICEF",Collective Service,Lorem ipsum,stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,community_leaders_engagement|rumours_tracking|coordination_mechanism_structure|digital_tools_development|qualitative_and_quantitative_research|data_collection_and_survey|training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Global support,yes,web|mobile_and_applications,health,English,All,,Ongoing,2022-08-01,2022-12-01,Rumphi,Rumphi,MW104,Northern,MW1
8,338191434,20220927095138,Organization 3,Human_made_disasters,Conflict,org3@org.org,Kendford,,Project,Description,capacity_building,training_of_governance_and_partners_staff|tools_guidelines_training_packages|training_of_community_health_workforce,Description,yes,face_to_face,nutrition|wash|health,English,All,,Pending,2022-08-01,2022-12-01,Dowa,Dowa,MW204,Central,MW2
9,337288760,20220927095022,Organization 1,Epidemics,COVID-19,org@org.org,Amadou Ndong,Main Org,Fight COVID,Fight covid-19,broad_communication|community_outreach|stakeholder_engagement|community_feedback|coordination|social_science|capacity_building,shows|Mobile_cinema_and_community_theater|authorities_engagement|rumours_tracking|coordination_mechanism_structure|qualitative_and_quantitative_research|training_of_governance_and_partners_staff,All rcce related activities,yes,face_to_face|community_leaders_community|Social_Mobilisation|theater_and_movies|advertising_billborad|paper_based|newspaper|Call_Center|radio|tv|web|social_network|mobile_and_applications|volunteers|field_staff_monitoring|meeting_workshop|other,nutrition|wash|health|education|protection|logistics|telecommunication|early_recovery|cccm|shelter|food_security,English,Women|Men|Girls|Boys|Children|Adolescents|Elderly|PLW,ici,Planned,2022-10-01,2022-12-01,Thyolo,Thyolo,MW307,Southern,MW3
